Position,Level,Salary,yeah
abaguey,1,4,NOUN
abaingan,2,2,ADVERB
abala,3,4,NOUN
abalang,4,1,ADJECTIVE
abalaten,5,1,ADJECTIVE
baloto,6,4,NOUN
balsa,7,4,NOUN
balsig-en,8,5,VERB
banaoang,9,4,NOUN
bancay,10,1,ADJECTIVE
dalan,11,4,NOUN
dalang,12,1,ADJECTIVE
dalao-en,13,5,VERB
dalapdap,14,1,ADJECTIVE
dalayap,15,1,ADJECTIVE
espiritu,16,4,NOUN
estainpa,17,4,NOUN
etab,18,4,NOUN
eyag,19,4,NOUN
eyagon,20,5,VERB
ingen,21,3,CONJUNCTION
inglit,22,4,NOUN
inglit-en,23,5,VERB
inkianacl,24,4,NOUN
Inkianac,25,4,NOUN
labi,26,4,NOUN
labinuda,27,1,ADJECTIVE
labirl,28,5,VERB
lacap-en,29,5,VERB
laco,30,5,VERB
Jugan-en,31,5,VERB
bumoloto,32,4,NOUN
loto(man),33,5,VERB
bunec,34,4,NOUN
lupa,35,4,NOUN
maampog,36,1,ADJECTIVE
maanos,37,4,NOUN
na-aoang,38,1,ADJECTIVE
maatap,39,1,ADJECTIVE
mababig,40,1,ADJECTIVE
naoguip,41,2,ADVERB
naonor,42,1,ADJECTIVE
napera,43,1,ADJECTIVE
napgaan,44,1,ADJECTIVE
napia,45,1,ADJECTIVE
panagaralan,46,4,NOUN
panagdalus,47,4,NOUN
panaggaoa,48,4,NOUN
panagpicasid-talintao,49,4,NOUN
panamag,50,4,NOUN
